ChrPos	Coefficient
chr1_23922136	-9.7072
chr1_25829517	6.3764
chr1_74855811	1.0576
chr1_78196764	2.143
chr1_121000000	1.9216
chr1_121000000	0.5832
chr1_121000000	19.7061
chr1_133000000	-0.0861
chr1_188000000	0.4047
chr1_190000000	7.9595
chr1_192000000	-5.3734
chr2_6872384	-5.2553
chr2_9896052	4.4571
chr2_13010915	4.6989
chr2_25292431	-2.3374
chr2_30474002	-2.1123
chr2_31635948	0.3936
chr2_33639563	-9.9954
chr2_38348059	15.2712
chr2_55437515	0.2038
chr2_71546351	4.4231
chr2_74135851	0.4665
chr2_74682276	5.5981
chr2_74727085	0.1012
chr2_74734745	1.6732
chr2_74753208	2.2466
chr2_82053835	1.019
chr2_92055426	10.0113
chr2_94241431	-3.8299
chr2_104000000	-5.1725
chr2_106000000	0.5472
chr2_106000000	-1.0798
chr2_106000000	2.6148
chr2_116000000	1.2518
chr2_119000000	-6.3255
chr2_126000000	-1.3629
chr2_129000000	-2.3333
chr2_130000000	3.1642
chr2_135000000	-0.6039
chr2_137000000	8.1965
chr2_137000000	6.4416
chr2_147000000	0.5332
chr2_147000000	-1.4554
chr2_147000000	0.0302
chr2_147000000	0.8454
chr2_148000000	3.1988
chr2_153000000	0.4734
chr2_156000000	-0.5751
chr2_160000000	7.0634
chr2_165000000	0.7629
chr3_30996041	17.8674
chr3_45381862	5.28
chr3_52104065	8.7114
chr3_73048527	0.4012
chr3_83766831	3.4908
chr3_88140721	-1.0008
chr3_88168282	1.0602
chr3_90292827	0.796
chr3_90292876	-3.1864
chr3_103000000	-1.1359
chr3_103000000	-0.3024
chr3_117000000	-8.5877
chr3_122000000	-7.2073
chr3_122000000	-0.2841
chr3_122000000	-5.2626
chr3_129000000	1.2474
chr3_129000000	3.2842
chr3_129000000	0.5572
chr3_134000000	-6.7666
chr3_138000000	-0.0688
chr3_157000000	9.8586
chr3_157000000	1.3334
chr4_5799580	0.4053
chr4_13784979	-4.9343
chr4_21931713	0.5785
chr4_34882990	-6.2963
chr4_49845025	0.747
chr4_59626459	7.6667
chr4_65124588	5.8708
chr4_88031563	26.4114
chr4_91375206	-0.9707
chr4_91381398	2.38
chr4_107000000	-13.5263
chr4_110000000	2.6039
chr4_121000000	-4.5412
chr4_125000000	-1.0527
chr4_125000000	1.5543
chr4_127000000	-1.2711
chr4_129000000	-1.3318
chr4_129000000	-7.6282
chr4_133000000	0.384
chr4_136000000	-1.5849
chr4_136000000	5.0007
chr4_138000000	0.2928
chr4_138000000	0.8479
chr4_139000000	2.5725
chr4_140000000	4.586
chr4_149000000	-0.094
chr4_149000000	3.3604
chr4_149000000	-3.2782
chr6_39873175	-16.189
chr6_72235506	-9.4424
chr6_77243836	-2.8226
chr6_86525026	11.5603
chr8_46294681	-6.5016
chr8_57328652	0.6829
chr8_57328658	3.0487
chr10_21991716	-0.5351
chr10_29535953	-3.1687
chr10_37138511	5.2529
chr10_42591774	-4.8622
chr10_59616647	-3.5582
chr10_63023319	0.0035
chr10_123000000	-5.9584
chr10_123000000	16.5319
chr11_23255924	10.1184
chr11_23255943	-2.6422
chr11_23255953	-5.4485
chr11_23256016	13.7585
chr11_31870925	8.7115
chr11_33203551	6.3264
chr11_33203575	0.8599
chr11_33203648	10.4231
chr11_42182462	0.572
chr11_47379459	-1.8186
chr11_58307712	-1.6692
chr11_58307734	-2.5741
chr11_60417754	-6.6415
chr11_69345523	-2.7025
chr11_69345527	-1.329
chr11_69361190	-0.3672
chr11_69406378	-2.3752
chr11_69406413	-1.8075
chr11_74831407	11.9008
chr11_78154447	-2.068
chr11_78154490	0.7741
chr11_96004885	1.5327
chr11_96271184	-2.1275
chr11_96286697	-2.7818
chr11_98329605	2.7619
chr11_98329610	4.568
chr11_104000000	7.3354
chr11_104000000	-1.2069
chr11_104000000	-1.2732
chr11_116000000	-11.0986
chr11_118000000	2.2248
chr11_118000000	0.1525
chr11_119000000	0.895
chr12_3960115	0.6027
chr12_12725223	-1.7854
chr12_33147856	-0.6481
chr12_56524961	-0.7087
chr12_59219444	-1.5996
chr12_69373153	2.1344
chr12_73046733	0.4858
chr12_75596226	5.2605
chr12_76405316	7.0478
chr12_80170742	-0.2967
chr12_84569707	0.3779
chr12_99393039	-10.5977
chr12_103000000	4.3428
chr12_106000000	-5.1526
chr12_119000000	0.9613
chr13_29986038	-1.9395
chr13_31559516	0.126
chr13_36734248	1.6302
chr13_55549159	2.3025
chr13_55750471	0.972
chr13_91461156	5.0197
chr13_91461177	0.8408
chr13_91461224	10.553
chr13_94706910	4.5807
chr13_94869342	-4.7451
chr13_94872594	-1.6782
chr13_105000000	6.0906
chr13_114000000	-26.4447
chr14_11553574	6.3769
chr14_12345742	1.4455
chr14_12345745	0.2835
chr14_16574885	-5.7127
chr14_16574952	-8.8156
chr14_20741446	1.0967
chr14_21027184	3.979
chr14_21994520	-1.4091
chr14_24003777	1.3882
chr14_45219745	-4.8443
chr14_45329870	-6.4414
chr14_45657545	-1.4958
chr14_46384349	-2.0882
chr14_55114974	-3.0178
chr14_63606670	-2.1192
chr14_65235274	1.3251
chr14_70079611	2.1466
chr14_93890725	9.8227
chr14_104000000	3.4332
chr14_117000000	10.9055
chr14_122000000	5.4603
chr14_122000000	0.8551
chr15_6386680	-0.8991
chr15_12170825	-1.0013
chr15_27466996	4.3647
chr15_38078124	-3.2307
chr15_79028764	-2.9638
chr15_81585368	-7.5177
chr15_103000000	-0.3939
chr15_103000000	0.5491
chr15_103000000	1.5484
chr15_103000000	-0.7458
chr15_103000000	0.4239
chr16_11984855	13.7056
chr16_20531469	2.5442
chr16_23987158	-5.1278
chr16_24990532	-0.1667
chr16_28446159	1.1202
chr16_28929569	-3.4568
chr16_65815643	6.736
chr16_76373016	6.3122
chr17_5493464	20.6053
chr17_29928992	1.645
chr17_31564837	-1.8486
chr17_44608121	2.8279
chr17_46254520	-3.0618
chr17_46555364	0.1363
chr17_46555387	7.3955
chr17_46890373	-4.6947
chr17_47872575	-3.335
chr17_47877553	1.5825
chr17_51536957	0.185
chr17_56830934	1.7874
chr17_86168923	-0.4747
chr17_87746301	1.2169
chr18_3508216	4.4733
chr18_3508260	1.4028
chr18_6490579	3.5413
chr18_25486855	4.8517
chr18_25486866	1.854
chr18_25753474	1.0865
chr18_36196601	4.6533
chr18_45559398	1.8216
chr18_60925553	1.1028
chr18_64340023	5.9742
chr18_64341586	0.0394
chr18_76379026	1.8835
chr18_76533533	0.1248
chr19_7268287	-10.1823
chr19_11966253	-8.0379
chr19_11966308	-2.8594
chr19_17199182	-2.047
chr19_23135911	-3.7169
chr19_23141943	-1.1511
chr19_32159671	-7.8069
chr19_32757670	-13.1933
chr19_44672172	1.0064
chr19_44672177	2.6729
chr19_44674870	0.1725
chr19_44674906	1.3817
chr19_44760882	2.7121
chr19_44760900	1.0906
chr19_44808947	1.9232
chr19_45225625	-3.7558
chr19_45229430	1.6458
chr19_45231293	0.8332
chr19_45231295	3.2402
chr19_45231361	1.8592
chr19_45248973	0.0933
chr19_45741565	2.1071
chr19_46033305	-1.7507
chr19_46033385	3.3502
chr19_46502448	-20.3462
chr19_46503408	-2.6971
chr19_47068412	3.3484
chr19_57453120	1.9197
chr19_57611655	-6.0035
