ChrPos	Weight
chr10_111559529	0.093680493
chr10_115250413	-0.044928889
chr10_118803606	-0.029329952
chr10_121498258	-0.021226966
chr10_127620127	-0.166234893
chr10_19970189	-0.027541235
chr10_19970209	-0.09462428
chr10_33624567	0.153783121
chr10_42644582	0.221426038
chr10_4621215	0.021147466
chr10_57795976	-0.075137235
chr10_60698046	0.11303534
chr10_61828281	-0.124522168
chr10_63820265	-0.004620402
chr10_67979197	-0.14366746
chr10_68137630	-0.091840821
chr10_75014983	-0.064375206
chr10_78273866	-0.08584599
chr10_78487669	-0.076106839
chr10_80182188	-0.065796918
chr10_80534973	0.056417021
chr10_84760142	0.018415331
chr11_100367639	-0.12470566
chr11_102255939	0.011288939
chr11_107372077	-0.174833908
chr11_114423667	0.141727745
chr11_114479395	0.004207183
chr11_115989660	-0.003068952
chr11_116515706	0.006347972
chr11_117175709	0.064348445
chr11_117232283	-0.000252815
chr11_117233137	-0.472534149
chr11_117425850	-0.213053338
chr11_119026286	0.044343394
chr11_119198909	0.043160136
chr11_119514867	0.079475419
chr11_15818883	-0.070051033
chr1_119487879	0.03771123
chr1_120699024	0.126464978
chr11_25314860	0.103408439
chr1_127397517	0.097565198
chr1_133177284	-0.222813921
chr1_143263365	-0.132342366
chr11_45980354	0.078046627
chr11_45980357	0.113812358
chr11_45980360	0.067963905
chr11_46309441	-0.06049641
chr11_49978547	-0.217174502
chr1_153181038	0.019427486
chr1_154204889	0.13841001
chr11_55031175	0.053196868
chr11_55031213	0.377689225
chr11_59177440	-0.018036499
chr11_61684665	0.038624385
chr11_61684674	0.12999038
chr11_61684730	0.323475357
chr11_61684735	0.183158299
chr11_68492553	0.050299008
chr11_69120444	0.141037695
chr11_69798123	-0.039661455
chr11_71760155	-0.053161315
chr11_73041195	-0.048939723
chr11_75415044	0.127563318
chr11_80824002	-0.055077864
chr1_181821518	-0.179281797
chr11_82309621	-0.093903495
chr11_82931433	0.023349672
chr11_82931437	0.171577268
chr1_183979716	0.015354456
chr11_8523361	-0.032946801
chr1_189716352	-0.036229297
chr1_189716363	-0.260408308
chr1_193191545	-0.017071391
chr11_94214148	0.016165969
chr11_96988678	-0.186605116
chr11_98329610	0.108201563
chr11_98945062	0.201970926
chr12_102368617	0.390116905
chr12_104999401	0.079607005
chr12_105030952	-0.248133913
chr12_105030953	0.029216626
chr12_107756188	0.067297681
chr12_108221446	-0.029563714
chr12_111461376	-0.103631385
chr12_112663963	-0.032385784
chr12_118848855	0.10197874
chr12_20233324	-0.137157577
chr12_20233417	0.174053464
chr12_20312363	0.067504633
chr12_20815371	0.154350811
chr12_21300152	-0.005140385
chr12_23634736	0.064342786
chr12_23634757	0.034228872
chr12_24251943	0.300936425
chr12_24251971	0.664750702
chr12_24251973	0.260978389
chr12_29331270	-0.002437224
chr1_25829551	0.081272273
chr12_79797211	-0.119893119
